1,null
2,prime
3,prime
4,null
5,prime
6,null
7,prime
8,null
9,null
10,null
11,prime
12,null
13,prime
14,null
15,null
16,null
17,prime
18,null
19,prime
20,null
21,null
22,null
23,prime
24,null
25,null
26,null
27,null
28,null
29,prime
30,null
31,prime
32,null
33,null
34,null
35,null
36,null
37,prime
38,null
39,null
40,null
41,prime
42,null
43,prime
44,null
45,null
46,null
47,prime
48,null
49,null
50,null
51,null
52,null
53,prime
54,null
55,null
56,null
57,null
58,null
59,prime
60,null
61,prime
62,null
63,null
64,null
65,null
66,null
67,prime
68,null
69,null
70,null
71,prime
72,null
73,prime
74,null
75,null
76,null
77,null
78,null
79,prime
80,null
81,null
82,null
83,prime
84,null
85,null
86,null
87,null
88,null
89,prime
90,null
91,null
92,null
93,null
94,null
95,null
96,null
97,prime
98,null
99,null
100,null
101,prime
102,null
103,prime
104,null
105,null
106,null
107,prime
108,null
109,prime
110,null
111,null
112,null
113,prime
114,null
115,null
116,null
117,null
118,null
119,null
120,null
121,null
122,null
123,null
124,null
125,null
126,null
127,prime
128,null
129,null
130,null
131,prime
132,null
133,null
134,null
135,null
136,null
137,prime
138,null
139,prime
140,null
141,null
142,null
143,null
144,null
145,null
146,null
147,null
148,null
149,prime
150,null
151,prime
152,null
153,null
154,null
155,null
156,null
157,prime
158,null
159,null
160,null
161,null
162,null
163,prime
164,null
165,null
166,null
167,prime
168,null
169,null
170,null
171,null
172,null
173,prime
174,null
175,null
176,null
177,null
178,null
179,prime
180,null
181,prime
182,null
183,null
184,null
185,null
186,null
187,null
188,null
189,null
190,null
191,prime
192,null
193,prime
194,null
195,null
196,null
197,prime
198,null
199,prime
200,null
201,null
202,null
203,null
204,null
205,null
206,null
207,null
208,null
209,null
210,null
211,prime
212,null
213,null
214,null
215,null
216,null
217,null
218,null
219,null
220,null
221,null
222,null
223,prime
224,null
225,null
226,null
227,prime
228,null
229,prime
230,null
231,null
232,null
233,prime
234,null
235,null
236,null
237,null
238,null
239,prime
240,null
241,prime
242,null
243,null
244,null
245,null
246,null
247,null
248,null
249,null
250,null
251,prime
252,null
253,null
254,null
255,null
256,null
257,prime
258,null
259,null
260,null
261,null
262,null
263,prime
264,null
265,null
266,null
267,null
268,null
269,prime
270,null
271,prime
272,null
273,null
274,null
275,null
276,null
277,prime
278,null
279,null
280,null
281,prime
282,null
283,prime
284,null
285,null
286,null
287,null
288,null
289,null
290,null
291,null
292,null
293,prime
294,null
295,null
296,null
297,null
298,null
299,null
300,null
301,null
302,null
303,null
304,null
305,null
306,null
307,prime
308,null
309,null
310,null
311,prime
312,null
313,prime
314,null
315,null
316,null
317,prime
318,null
319,null
320,null
321,null
322,null
323,null
324,null
325,null
326,null
327,null
328,null
329,null
330,null
331,prime
332,null
333,null
334,null
335,null
336,null
337,prime
338,null
339,null
340,null
341,null
342,null
343,null
344,null
345,null
346,null
347,prime
348,null
349,prime
350,null
351,null
352,null
353,prime
354,null
355,null
356,null
357,null
358,null
359,prime
360,null
361,null
362,null
363,null
364,null
365,null
366,null
367,prime
368,null
369,null
370,null
371,null
372,null
373,prime
374,null
375,null
376,null
377,null
378,null
379,prime
380,null
381,null
382,null
383,prime
384,null
385,null
386,null
387,null
388,null
389,prime
390,null
391,null
392,null
393,null
394,null
395,null
396,null
397,prime
398,null
399,null
400,null
401,prime
402,null
403,null
404,null
405,null
406,null
407,null
408,null
409,prime
410,null
411,null
412,null
413,null
414,null
415,null
416,null
417,null
418,null
419,prime
420,null
421,prime
422,null
423,null
424,null
425,null
426,null
427,null
428,null
429,null
430,null
431,prime
432,null
433,prime
434,null
435,null
436,null
437,null
438,null
439,prime
440,null
441,null
442,null
443,prime
444,null
445,null
446,null
447,null
448,null
449,prime
450,null
451,null
452,null
453,null
454,null
455,null
456,null
457,prime
458,null
459,null
460,null
461,prime
462,null
463,prime
464,null
465,null
466,null
467,prime
